                              138 macb r/rrwxrwxrwx 0        0        93773-48-2 /Users/Marcos/AppData/Local/Microsoft/OneDrive/setup/logs/Update_2017-10-20_221438_e90-e94.log ($FILE_NAME)
                             1222 macb r/rrwxrwxrwx 0        0        93774-128-4 /Users/Marcos/AppData/Local/Microsoft/Windows Live/Bici/wlexpid_08.sqm
                               94 macb r/rrwxrwxrwx 0        0        93774-48-2 /Users/Marcos/AppData/Local/Microsoft/Windows Live/Bici/wlexpid_08.sqm ($FILE_NAME)
Fri Oct 20 2017 20:14:45     6424 m.c. r/rrwxrwxrwx 0        0        93773-128-4 /Users/Marcos/AppData/Local/Microsoft/OneDrive/setup/logs/Update_2017-10-20_221438_e90-e94.log
Fri Oct 20 2017 20:15:02     8192 .a.. r/rrwxrwxrwx 0        0        93775-128-4 /ProgramData/USOShared/Logs/UpdateSessionOrchestration.003.etl
                              134 .a.. r/rrwxrwxrwx 0        0        93775-48-7 /ProgramData/USOShared/Logs/UpdateSessionOrchestration.003.etl ($FILE_NAME)
Fri Oct 20 2017 20:15:12   655221 ma.b r/rrwxrwxrwx 0        0        93776-128-3 /Windows/Prefetch/ReadyBoot/Trace5.fx
                               84 macb r/rrwxrwxrwx 0        0        93776-48-2 /Windows/Prefetch/ReadyBoot/Trace5.fx ($FILE_NAME)
Fri Oct 20 2017 20:15:45      160 macb d/drwxrwxrwx 0        0        62127-144-1 /Windows/System32/WDI/{86432a0b-3c7d-4ddf-a89c-172faa90485d}/{52f590d8-723c-40cd-95a7-8c96ce0fa761}
                              142 macb d/drwxrwxrwx 0        0        62127-48-2 /Windows/System32/WDI/{86432a0b-3c7d-4ddf-a89c-172faa90485d}/{52f590d8-723c-40cd-95a7-8c96ce0fa761} ($FILE_NAME)
                           196608 .a.b r/rrwxrwxrwx 0        0        93777-128-1 /Windows/System32/WDI/{86432a0b-3c7d-4ddf-a89c-172faa90485d}/{52f590d8-723c-40cd-95a7-8c96ce0fa761}/snapshot.etl
                               90 macb r/rrwxrwxrwx 0        0        93777-48-2 /Windows/System32/WDI/{86432a0b-3c7d-4ddf-a89c-172faa90485d}/{52f590d8-723c-40cd-95a7-8c96ce0fa761}/snapshot.etl ($FILE_NAME)
Fri Oct 20 2017 20:15:46     3440 macb r/rrwxrwxrwx 0        0        93778-128-4 /Windows/System32/WDI/LogFiles/StartupInfo/S-1-5-21-3930698692-3150784357-1811628781-1001_StartupInfo5.xml
                              192 macb r/rrwxrwxrwx 0        0        93778-48-2 /Windows/System32/WDI/LogFiles/StartupInfo/S-1-5-21-3930698692-3150784357-1811628781-1001_StartupInfo5.xml ($FILE_NAME)
Fri Oct 20 2017 20:16:09     8192 m... r/rrwxrwxrwx 0        0        93775-128-4 /ProgramData/USOShared/Logs/UpdateSessionOrchestration.003.etl
                              134 m... r/rrwxrwxrwx 0        0        93775-48-7 /ProgramData/USOShared/Logs/UpdateSessionOrchestration.003.etl ($FILE_NAME)
Fri Oct 20 2017 20:16:10     8192 .a.b r/rrwxrwxrwx 0        0        93606-128-4 /Windows/Logs/dosvc/dosvc.20171020_201610_077.etl
                              124 macb r/rrwxrwxrwx 0        0        93606-48-2 /Windows/Logs/dosvc/dosvc.20171020_201610_077.etl ($FILE_NAME)
